PDB_ID,UniProt_ID
101M,P02185
102L,P00720
102M,P02185
103L,P00720
103M,P02185
104L,P00720
104M,P02185
105M,P02185
106M,P02185
107L,P00720
107M,P02185
108L,P00720
108M,P02185
109L,P00720
109M,P02185
10GS,P09211
10MH,P05102
110L,P00720
110M,P02185
111L,P00720
111M,P02185
112L,P00720
112M,P02185
113L,P00720
114L,P00720
115L,P00720
117E,P00817
118L,P00720
119L,P00720
11AS,P00963
11BA,P00669
11BG,P00669
11GS,P09211
120L,P00720
121P,P01112
122L,P00720
123L,P00720
125L,P00720
126L,P00720
127L,P00720
128L,P00720
129L,P00720
12AS,P00963
12CA,P00918
12GS,P09211
130L,P00720
131L,P00720
132L,P00698
133L,P61626
134L,P61626
135L,P00703
137L,P00720
138L,P00720
139L,P00720
13GS,P09211
13PK,P07378
140L,P00720
141L,P00720
142L,P00720
143L,P00720
144L,P00720
145L,P00720
146L,P00720
147L,P00720
148L,P00720
149L,P00720
14GS,P09211
150L,P00720
151L,P00720
152L,P00720
153L,P00718
154L,P00718
155C,P00096
155L,P00720
156L,P00720
157L,P00720
158L,P00720
159L,P00720
15C8,P01869
160L,P00720
161L,P00720
162L,P00720
163L,P00720
164L,P00720
165L,P00720
166L,P00720
167L,P00720
168L,P00720
169L,P00720
16GS,P09211
16PK,P07378
16VP,P06492
170L,P00720
171L,P00720
172L,P00720
173L,P00720
174L,P00720
175L,P00720
176L,P00720
177L,P00720
178L,P00720
17GS,P09211
180L,P00720
181L,P00720
182L,P00720
183L,P00720
184L,P00720
185L,P00720
186L,P00720
187L,P00720
188L,P00720
189L,P00720
18GS,P09211
190L,P00720
1914,P16254
191L,P00720
192L,P00720
193L,P00698
194L,P00698
195L,P00720
196L,P00720
197L,P00720
198L,P00720
199L,P00720
19GS,P09211
19HC,Q9RN68
1A00,P69905
1A01,P69905
1A02,P01100
1A03,P30801
1A04,P0AF28
1A05,Q56268
1A06,Q63450
1A07,P12931
1A08,P12931
1A09,P12931
1A0A,P07270
1A0B,P0AEC3
1A0C,P19148
1A0D,P54273
1A0E,P45687
1A0F,P0A9D2
1A0G,P19938
1A0H,P00735
1A0I,P00969
1A0J,P35033
1A0K,Q42449
1A0L,P20231
1A0M,P56638
1A0N,P27986
1A0O,P0AE67
1A0P,P0A8P8
1A0Q,P01869
1A0R,P62871
1A0S,P22340
1A0T,P22340
1A0U,P69905
1A0Z,P69905
1A11,P25110
1A12,P18754
1A13,P01515
1A14,P01749
1A15,P48061
1A16,P15034
1A17,P53041
1A18,P04117
1A19,P11540
1A1A,P12931
1A1B,P12931
1A1C,P12931
1A1D,P20436
1A1E,P12931
1A1F,P08046
1A1G,P08046
1A1H,P08046
1A1I,P08046
1A1J,P08046
1A1K,P08046
1A1L,P08046
1A1M,P01889
1A1N,P01889
1A1O,P01889
1A1Q,P26663
1A1R,P27958
1A1S,Q51742
1A1T,Q75677
1A1U,P04637
1A1V,P27958
1A1W,Q13158
1A1X,P56278
1A1Z,Q13158
1A21,P24055
1A22,P01241
1A23,P0AEG4
1A24,P0AEG4
1A25,P68403
1A26,P26446
1A27,P14061
1A28,P06401
1A29,P62157
1A2A,P14421
1A2B,P61586
1A2C,P00734
1A2D,P04117
1A2F,P00431
1A2G,P00431
1A2I,P00131
1A2J,P0AEG4
1A2L,P0AEG4
1A2M,P0AEG4
1A2N,P0A749
1A2O,P04042
1A2P,P00648
1A2Q,P00782
1A2S,Q09099
1A2T,P00644
1A2U,P00644
1A2V,P12807
1A2W,P61823
1A2X,P02586
1A2Y,P01635
1A2Z,O07883
1A30,P04585
1A31,P11387
1A32,P05766
1A33,Q27450
1A34,P17574
1A35,P11387
1A36,P11387
1A37,P63103
1A38,P63103
1A39,P56680
1A3A,P00550
1A3B,P00734
1A3C,P39765
1A3D,P15445
1A3E,P00734
1A3F,P15445
1A3G,P0AB80
1A3H,O85465
1A3K,P17931
1A3L,P01869
1A3N,P69905
1A3O,P69905
1A3P,P01132
1A3Q,Q00653
1A3R,Q505N9
1A3S,P63279
1A3T,P00644
1A3U,P00644
1A3V,P00644
1A3W,P00549
1A3X,P00549
1A3Y,P81245
1A3Z,P0C918
1A40,P0AG82
1A41,P68698
1A42,P00918
1A43,P12497
1A44,P13696
1A45,P23005
1A46,P00734
1A47,P26827
1A48,P27616
1A49,P11974
1A4A,P00280
1A4B,P00280
1A4C,P00280
1A4E,P15202
1A4F,P01990
1A4G,P27907
1A4H,P02829
1A4I,P11586
1A4J,P01834
1A4K,P01834
1A4L,P03958
1A4M,P03958
1A4O,P63103
1A4P,P60903
1A4Q,P27907
1A4R,P60953
1A4S,P56533
1A4T,P04891
1A4U,P10807
1A4V,P00709
1A4W,P00734
1A4X,P39765
1A4Y,P13489
1A4Z,P20000
1A50,P00929
1A52,P03372
1A53,Q06121
1A54,P0AG82
1A55,P0AG82
1A56,P95339
1A57,P02693
1A58,Q27450
1A59,O34002
1A5A,P00929
1A5B,P00929
1A5C,P14223
1A5D,P02528
1A5E,P42771
1A5G,P00734
1A5H,P00750
1A5I,P98119
1A5J,Q03237
1A5K,P18316
1A5L,P18316
1A5M,P18316
1A5N,P18316
1A5O,P18316
1A5P,P61823
1A5Q,P61823
1A5R,P63165
1A5S,P00929
1A5T,P28631
1A5U,P11974
1A5V,O92956
1A5W,O92956
1A5X,O92956
1A5Y,P18031
1A5Z,P16115
1A61,P00734
1A62,P0AG30
1A63,P0AG30
1A64,P08921
1A65,Q9Y780
1A66,O95644
1A67,P01038
1A68,Q16968
1A69,P0ABP8
1A6A,P01903
1A6B,P03332
1A6C,Q88894
1A6D,P48424
1A6E,P48424
1A6F,P25814
1A6G,P02185
1A6I,P0ACT4
1A6J,P69829
1A6K,P02185
1A6L,P00214
1A6M,P02185
1A6N,P02185
1A6P,P08921
1A6Q,P35813
1A6R,Q01532
1A6S,P03322
1A6U,P01724
1A6V,P01724
1A6W,P01724
1A6X,P0ABD8
1A6Y,P20393
1A6Z,Q30201
1A70,P00221
1A71,P00327
1A72,P00327
1A73,Q94702
1A74,Q94702
1A75,P02621
1A76,Q58839
1A77,Q58839
1A78,P56217
1A79,Q58819
1A7A,P23526
1A7B,P08921
1A7C,P05121
1A7D,P02247
1A7E,P02247
1A7F,P01308
1A7G,P17383
1A7H,P06504
1A7I,Q05158
1A7J,P12033
1A7K,Q27890
1A7L,P0AEX9
1A7M,P09056
1A7N,P01820
1A7O,P01820
1A7P,P01820
1A7Q,P01820
1A7R,P01820
1A7S,P20160
1A7T,P25910
1A7U,O31168
1A7V,P00149
1A7W,P19267
1A7X,P62942
1A80,P06632
1A81,P43405
1A82,P13000
1A85,P22894
1A86,P22894
1A87,P08083
1A88,P49323
1A8A,P14668
1A8B,P14668
1A8C,P95339
1A8D,P04958
1A8E,P02787
1A8F,P02787
1A8G,P03367
1A8H,P23395
1A8I,P00489
1A8J,P01709
1A8K,P03367
1A8L,Q51760
1A8M,P01375
1A8O,P12497
1A8P,Q44532
1A8Q,P33912
1A8R,P0A6T5
1A8S,O31158
1A8T,P25910
1A8U,O31168
1A8V,P0AG30
1A8Y,P07221
1A8Z,P0C918
1A90,P01038
1A91,P68699
1A92,P25989
1A93,P01106
1A94,P03367
1A95,P0A9M5
1A96,P0A9M5
1A97,P0A9M5
1A98,P0A9M5
1A99,P31133
1A9B,P01889
1A9C,P0A6T5
1A9E,P01889
1A9M,P03366
1A9N,P09661
1A9O,P55859
1A9P,P55859
1A9Q,P55859
1A9R,P55859
1A9S,P55859
1A9T,P55859
1A9U,Q16539
1A9V,P49278
1A9W,P69905
1A9X,P00968
1A9Y,P09147
1A9Z,P09147
1AA0,P10104
1AA1,P00875
1AA2,Q01082
1AA3,P0A7G6
1AA4,P00431
1AA6,P07658
1AA7,P03485
1AA9,P01112
1AAB,P63159
1AAC,P22364
1AAF,P05961
1AAJ,P22364
1AAL,P00974
1AAM,P00509
1AAN,P22364
1AAP,P05067
1AAQ,P03367
1AAR,P0CH28
1AAT,P00504
1AAW,P00509
1AAX,P18031
1AAY,P08046
1AAZ,P00276
1AB0,P04117
1AB1,P01542
1AB2,P00519
1AB3,P80378
1AB4,P0AES4
1AB5,P0AE67
1AB6,P0AE67
1AB7,P11540
1AB8,P26769
1AB9,P00766
1ABA,P00276
1ABB,P00489
1ABE,P02924
1ABF,P02924
1ABI,P00734
1ABJ,P00734
1ABN,P15121
1ABO,P00520
1ABQ,P00520
1ABR,P11140
1ABS,P02185
1ABT,P60615
1ABV,P0ABA4
1ABW,P69905
1ABY,P69905
1AC0,P69328
